Agglomération,Echantillon,A pied,A pied (+/-),Vélo (incl. vélo électrique),Vélo (incl. vélo électrique) (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Centre hors des agglomération Zermatt,16,0.08076235212779546,0.12774065630318054,0.0,0.0,0.0,0.0,0.6905877400736227,0.21671499056175555,0.0045196964804652675,0.03144718195085556,0.1894003506946104,0.18369797017052017,0.03472986062350632,0.08583940887810612
Centre hors des agglomération Langenthal,68,0.04162505888785575,0.045421497934807736,0.020349184593455825,0.0321089020365542,0.0022371572787605255,0.01074430230328844,0.5713719928089606,0.11254236675695518,0.018223447908005175,0.03041850739790253,0.341094964525794,0.1078115685370308,0.00509819399716817,0.01619625424193801
Centre hors des agglomération Landquart,98,0.04130992690440864,0.03769849774369851,0.012575057433158938,0.02110885861780531,0.01864555356845308,0.025624671341231735,0.7730470049688212,0.07934665552990497,0.01141511144821363,0.020123558359681035,0.14137533893608673,0.06600034782667426,0.0016320067408577285,0.00764652327213263
Centre hors des agglomération Murten,32,0.03775563874969382,0.06318723664967303,0.007584082464463918,0.028760348778069017,0.0,0.0,0.7598057130198616,0.1416212354111599,0.006015610038492269,0.025634531474192198,0.1852240493053634,0.12878448704339024,0.0036149064221249433,0.019895639584462416
Agglomération Stein (AG) (CH),25,0.04440439615383427,0.07725930643787028,0.006867390196055513,0.03097420957498416,0.0,0.0,0.7975416877592367,0.15071110423639156,0.017590670083952403,0.049304684050707766,0.13359585580692104,0.12760200631385543,0.0,0.0
Centre hors des agglomération Uznach,28,0.055439728154569726,0.08109930297616065,0.061685193752918234,0.08526219112311627,0.0,0.0,0.6378826937405585,0.17032829074102573,0.018897491938357457,0.04825596615880974,0.21463408540582485,0.14550472898133235,0.011460807007771358,0.03772213664682987
Toutes les agglomérations,43630,0.057200300939267215,0.0020849086039857402,0.026747943238204418,0.0014485583993019285,0.014263321194098342,0.0010645570406362928,0.612613555829987,0.004373646296953627,0.047241055287349586,0.0019047126218759167,0.2231214299894139,0.0037378800476795047,0.018812393521679342,0.0012197650954379414
Agglomérations de 250'000 habitants et plus,18404,0.06135571671245523,0.0033173605662199864,0.027514274282001924,0.002261180805432039,0.01666647075519585,0.001769647991477926,0.5815965300413852,0.006819039144528491,0.061460261692129134,0.00332000071085841,0.23321700513017837,0.005845625445298388,0.018189741386654298,0.0018473181038600732
de 50'000 à 249'000 habitants,18345,0.053575593915553665,0.003117728968469246,0.025942962562311593,0.0022009687393352386,0.011502234513824964,0.0014763551744107846,0.6458483129877272,0.006621735325748039,0.035331286945078845,0.0025561169529782234,0.20834561577371247,0.005623049274286571,0.019453993301791296,0.001912274634109202
de moins de 50'000 habitants,6881,0.04988572450526761,0.004921766868178022,0.025897136059583242,0.0035906514873083255,0.012459040301220208,0.0025076379218685265,0.6446656635564927,0.010820088981903394,0.020411282595631797,0.003196700946986377,0.22713202267473925,0.00947189370237433,0.019549130307065146,0.003129836229836284
