Agglomération,Echantillon,A pied,A pied (+/-),Vélo,Vélo (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Agglomération Chur,700,0.060266828921701765,0.01686798408015508,0.02707801326857559,0.011504536888260683,0.01718372363405064,0.009211207025858084,0.6328149362942752,0.03416666563814401,0.03277325329123694,0.012619602040514075,0.20926866986295709,0.0288328992132864,0.02061457472720275,0.01007130485078673
Agglomération Arbon-Rorschach (CH),865,0.04830464901811889,0.013671184337658166,0.027467348034320955,0.01042133029635143,0.005149474758738472,0.004563763004893164,0.7492536291267717,0.027637226355037875,0.026585197760224225,0.010257266056728031,0.11549560151054625,0.02037958898280074,0.027744099791279484,0.010472209275492422
Agglomération Frauenfeld,247,0.06458403846574556,0.029328325265683082,0.017061365103728417,0.015452272850148194,0.032660178966069084,0.02120904385574403,0.4874487214808649,0.05964244041973588,0.016834510984728934,0.015350970689228234,0.3668047627432205,0.057505393527631274,0.014606422255642725,0.014315254270418944
Agglomération Kreuzlingen (CH),244,0.049486590892263455,0.026037467008503606,0.041966460657953036,0.02407228790179792,0.0032711023660442974,0.006855062723151854,0.7332298442143189,0.05309633300247735,0.012326459510343654,0.013246517782852631,0.1467560711387235,0.04248254069882963,0.012963471220353065,0.013580104352434466
Agglomération Luzern,1737,0.06630057518466019,0.01119523045708156,0.025519208720345472,0.0070956320681904465,0.014785604127264372,0.0054306992951185466,0.5881406674384402,0.022145521156709452,0.05555444102949888,0.010306677805848881,0.23286698898596422,0.019017794227995037,0.016832514513826766,0.005788407491768175
Agglomération Lachen,403,0.04424902711409038,0.019210668071400584,0.015725699229213855,0.011622011103845278,0.0030934128823480664,0.005187575234523109,0.7269596721749744,0.041618534982006364,0.013239663520751219,0.010677327078988576,0.1811391387602911,0.03597737199917588,0.015593386318330944,0.011573793014694148
Agglomération Schwyz,288,0.08490858136076256,0.03080225724263446,0.019559161856867683,0.015302427350174529,0.016500745421592036,0.01407710367941236,0.5844345645536859,0.054458059898278885,0.031819848278392654,0.019395529909828502,0.18455927836732036,0.04286853570485387,0.0782178201613789,0.029671637733965795
Agglomération Stans,478,0.049502455725450985,0.018605685555055027,0.02282649342466821,0.012810386932317874,0.00403289919143758,0.005436106855293174,0.7842881070158587,0.03528025090039781,0.02660605353344086,0.013803567907384228,0.09062655243664154,0.0246238337040769,0.02211743867250196,0.012614428279203425
Agglomération Zug,937,0.053895918418297446,0.013834018582086249,0.02930394499859137,0.01033250527673297,0.01206458327541335,0.006688387065459448,0.6587326827585052,0.029047108907725126,0.03982528140302584,0.01197996414292902,0.18041849872398663,0.02355795371804221,0.02575909042218024,0.00970508628836253
Agglomération Lugano (CH),588,0.06715496863978278,0.019356459233980067,0.0013479515041385024,0.0028374376233450275,0.029951135757636454,0.013182128600642518,0.7200288084933539,0.03472271693189328,0.03175355804162712,0.013560360750712002,0.09698706802802191,0.022886848288855483,0.05277650953543919,0.01729134008082928
