Agglomération,Echantillon,Total,Total (+/-),A pied,A pied (+/-),Vélo,Vélo (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Agglomération Locarno,580,24.79499778724295,2.995050036951061,2.0134824830597475,0.23525861449940288,0.7848405829292304,0.40146548980575963,0.4485040494890275,0.2615700264184736,18.783634768810987,2.750614990683512,1.0377391111464669,0.41880883383890527,1.6712917391178108,1.2911571878223587,0.055505052689669994,0.04711987629384308
Agglomération Chiasso-Mendrisio (CH),604,26.859623179476355,4.322721996778093,1.5352509142218436,0.21304494319390363,0.23454804242441063,0.21378202973975496,0.8400772567375215,0.6076755136765774,19.98891632703244,3.805889364199837,0.8452762843081407,0.3338364293339067,2.5083174172679596,1.22634754592188,0.9072369374840321,1.3402316076308534
Agglomération de taille K,10884,36.41008041279556,1.0680942790599757,1.936301934186985,0.06159960459183727,0.8337258123656559,0.08609301772851996,0.5530850038266951,0.13005143191396532,24.014257522614233,0.8513383978144647,0.8348852313662165,0.09506622204085988,7.111820867973091,0.5975720456040741,1.1260040404626765,0.29357814430190216
Agglomération de taille M,17981,36.97553528841381,0.8292528577652939,2.0898152001910915,0.04611452966677965,0.8699159444037158,0.06244288394892194,0.4805386666991265,0.08086282214634784,23.44101422710858,0.6672760821419141,1.4392034014862165,0.085447124819407,7.750252854971715,0.4809801520103767,0.9047949935533646,0.2043684395117489
Agglomération de taille G,21374,33.24960822533503,0.7175729642038293,2.184460860554465,0.04087956265986145,0.7597111331953854,0.05407122664651269,0.4571242613194073,0.07582357092456664,19.737683953839422,0.5757214838132038,2.1072320167925667,0.08198685657694818,7.375918715927794,0.4240664499179948,0.6274772837059945,0.127757049230071
Toutes les agglomérations,50239,35.00770020918857,0.4824878718740406,2.115336636201019,0.027296599272596256,0.8088749288084008,0.03673618923605224,0.47926273601469094,0.050859198436986046,21.650560556900054,0.3872920514018552,1.6891760656068118,0.05155125153418592,7.467787623396282,0.2807561240097105,0.7967016622613042,0.1069696293994215
Hors agglomérations,12629,41.26423220102869,1.0280206306572754,1.8080710570992076,0.057124281421262246,0.7274137336105526,0.07170330350364987,0.606418020946935,0.10733190180048319,29.926518397116958,0.8805810933656846,1.0915387439024316,0.11467841810834087,5.938760680695215,0.4976321762067762,1.1655115676573902,0.2815643588030383
Ville isolée (commune BFS) Lyss,75,41.282520397145376,14.527991560334543,2.0814718635626797,0.6155755042372035,1.8114874706544004,1.901423369468669,0.0,-,26.912020062926988,14.241982404508466,0.36226523395236643,0.3356888417252286,10.115275766048942,5.052708119130594,0.0,0.0
Ville isolée (commune BFS) Langenthal,87,47.258865613195916,12.908859293901546,2.047310717194118,0.48944597930915684,2.460290080186539,1.4388691445324475,0.0,-,24.586138628732293,10.808403657946947,0.34236526012497487,0.2932427598720916,16.78739132742665,8.884737046417309,1.035369599531348,1.5126168149042554
Ville isolée (commune BFS) Einsiedeln,171,34.614174960277374,6.863868229115897,2.5496493748351,0.5570600667540168,1.5063591753368704,0.9295138514987047,0.06619303696235483,0.09821943913231349,25.41856731441835,6.188486379346066,0.09025176463472002,0.10030616170318911,3.8809851379877163,3.0414499883545814,1.1021691561022615,1.0020650057795795
Ville isolée (commune BFS) Davos,66,34.38563705962519,14.706663694490373,4.923728721412656,1.5957628753610404,1.5139475366173145,1.5660396899639184,0.858831769116285,1.4997434754745211,15.049146166851317,11.132738915422843,2.39163528059806,1.7690822994040396,9.412319198372503,9.89497102774868,0.23602838665704534,0.3233276049294931
Ville isolée (commune BFS) Martigny,58,40.41929785981704,18.387295498668603,1.003420667560218,0.3861151130101337,0.2459870761901286,0.25972908921397286,0.0,-,39.15626805383043,18.487524419128167,0.0,-,0.0,-,0.013622062236270606,0.024762618244660934
Toutes les ville isolées,457,39.415146949033165,5.553778927736191,2.4674629467903073,0.35791289978969476,1.4889704993587147,0.570023315112488,0.16706153323013076,0.2410248171669554,26.523416672210633,5.0956087555284855,0.5709914560470661,0.30220478994517563,7.670955097273171,2.6920223216783508,0.5262887441231405,0.42913810890945475
