Agglomération,Echantillon,Total,Total (+/-),A pied,A pied (+/-),Vélo (incl. vélo électrique),Vélo (incl. vélo électrique) (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Agglomération Schwyz,365,32.32341151934932,4.5158127577370095,2.0519035151341956,0.32514849747445923,1.0331307055875745,0.6014881725127923,0.8489468153216427,0.9188717571249025,20.357344918451833,3.879236122832543,0.9109322949232994,0.32665156385462796,5.458000818693004,2.1720853791790735,1.6631524512377722,1.4049141502207914
Agglomération Yverdon-les-Bains,339,35.88840621674167,6.250732355073488,1.9401481096048774,0.3513406940633893,0.6747034033223378,0.3387483218033907,0.12924404902682785,0.09913976963176219,25.94309713463974,5.397260174313702,0.4921783393379018,0.22127757808255766,5.599501614811108,2.4661193180361107,1.1095335659988812,2.4244678543362186
Agglomération Grenchen,365,35.5384565620525,6.063412727220184,1.8292580823364437,0.2980596839716739,0.7766990482947483,0.3902609863873062,0.6358981493834748,0.7335922156737628,26.072613204447872,5.589777769833731,0.5235983626294636,0.20684631066179418,5.572540337274146,2.4750831535118847,0.12784937768635174,0.14873516570231854
Agglomération Wohlen (AG),471,31.662255117339768,3.6686640410638045,1.6217838448027664,0.2514120079356077,0.6069036832055285,0.2267410959113209,0.23400250350367813,0.2706884954222461,23.720228034374653,3.3726087885688987,0.4732174135628676,0.23870456750349148,4.937933625049877,1.8297851253038946,0.06818601284039696,0.050847833787326935
Agglomération St. Moritz,317,38.180814546002516,7.5761146522105545,2.5223533858576332,0.39038055979144903,1.3275025442999138,0.6121010471345378,0.043128476828341256,0.11392363842920258,26.41328261757533,6.611693227362208,1.3419198553657552,0.599526205982122,6.257775267895904,3.976465351924742,0.2748523981796319,0.1624040278308883
Agglomération Kreuzlingen (CH),616,32.23043075938098,3.8837491229072394,1.6594286742839,0.26487586368307375,1.1295102778065735,0.42524001012690477,0.17985029039554362,0.1444139918535617,22.370301761005397,3.356154218546148,0.5440206452879739,0.23548880837447436,6.243074981944707,2.169830579958026,0.10424412865688855,0.08188459278795916
Agglomération Interlaken,256,41.290670251817154,7.2892969295984775,2.1535604336711995,0.6269968997294968,1.3054271245153415,0.358640335192767,1.0894085703526992,1.5219569445134737,23.075808422104902,5.399744255951762,0.7461930065992026,0.2971181802534915,11.651963986422441,4.8421104745051675,1.2683087081513675,1.3674155261600747
Agglomération Locarno,591,27.818005001507437,3.4439428221044905,1.9213405644793267,0.24287272110691102,0.5233606440060004,0.20846938168473292,0.4793852345029965,0.3333343758280663,21.116143007330212,3.0418344089322056,0.8131339711357221,0.2729329791743395,2.912275961673443,1.6563429110322319,0.052365618379737744,0.06447019298017237
Agglomération Lachen,443,45.56900628028595,5.26758683440482,1.6273521250741854,0.25951802475831276,0.7621519914981713,0.4000379921707086,0.43416498159081524,0.44333919567833413,30.700968573657768,4.461361453107166,0.7933445155095091,0.27969222031420365,9.63441124427879,2.963027105040345,1.6166128486767084,1.6185258360617314
Agglomération Amriswil-Romanshorn,602,39.27558494968409,4.836912221396996,1.3685705901719964,0.18676255448953463,1.3768664572815155,0.3731313584589267,0.28660968126904995,0.29787309604220413,26.031275732936468,4.1810450548448586,0.5316327091420681,0.2973025303763745,9.244469552189788,2.8098897892716246,0.43616022669320514,0.4439428092049856
Agglomération Brig-Visp,252,49.08626485565314,9.325505347499696,2.9007009680963605,0.4764031401914047,1.44269753712151,1.3446693377374204,1.5528086739242046,1.7535801439010734,17.360360920779804,4.244603994953958,0.798442881942805,0.39373756244450236,24.686636712984562,8.42110186656562,0.34461716080389265,0.40543310204633615
